application_number,product_number,chemical_name,dosage
ANDA213764,001,VALSARTAN,26MG
ANDA213764,002,SACUBITRIL,49MG
ANDA213764,002,VALSARTAN,51MG
ANDA213836,001,METAXALONE,800MG
ANDA213845,001,TENOFOVIR ALAFENAMIDE,25MG
ANDA213852,001,AMPHETAMINE SULFATE,5MG
ANDA213852,002,AMPHETAMINE SULFATE,10MG
ANDA213858,001,TOLTERODINE TARTRATE,2MG
ANDA213858,002,TOLTERODINE TARTRATE,4MG
NDA020429,001,KETOPROFEN,12.5MG
NDA213871,003,ABROCITINIB,200MG
NDA213871,001,ABROCITINIB,50MG
NDA213871,002,ABROCITINIB,100MG
NDA213973,001,RIPRETINIB,50MG
ANDA213988,001,VASOPRESSIN,20UNITS
ANDA214020,001,TIGECYCLINE,50MG
NDA214047,001,LEVOTHYROXINE SODIUM,100MCG
ANDA214065,001,CHLORDIAZEPOXIDE HYDROCHLORIDE,5MG
ANDA214065,001,CLIDINIUM BROMIDE,2.5MG
ANDA214072,001,TENOFOVIR ALAFENAMIDE,25MG
ANDA214136,001,TAZAROTENE,0.1%
NDA214253,001,LEVOTHYROXINE SODIUM,100MCG
ANDA214269,001,LIDOCAINE HYDROCHLORIDE,4%
ANDA214272,001,ATOVAQUONE,750MG
ANDA214308,001,SUCCINYLCHOLINE CHLORIDE,20MG
ANDA214309,001,MEDROXYPROGESTERONE ACETATE,150MG
ANDA214314,001,VASOPRESSIN,20UNITS
NDA214324,005,TREPROSTINIL,0.08MG
NDA214324,003,TREPROSTINIL,0.048MG
NDA214324,001,TREPROSTINIL,0.016MG
NDA214324,004,TREPROSTINIL,0.064MG
NDA214324,002,TREPROSTINIL,0.032MG
ANDA214349,001,REGADENOSON,0.4MG
ANDA214363,001,PENICILLAMINE,250MG
ANDA214384,003,DROXIDOPA,300MG
ANDA214384,001,DROXIDOPA,100MG
ANDA214384,002,DROXIDOPA,200MG
NDA020486,001,BECLOMETHASONE DIPROPIONATE,0.084MG
ANDA214476,001,POSACONAZOLE,100MG
ANDA214505,001,MITOMYCIN,5MG
ANDA214505,002,MITOMYCIN,20MG
ANDA214541,001,LOPERAMIDE HYDROCHLORIDE,2MG
ANDA214541,001,SIMETHICONE,125MG
ANDA214543,002,DROXIDOPA,200MG
ANDA214543,003,DROXIDOPA,300MG
ANDA214543,001,DROXIDOPA,100MG
NDA020491,001,IBUTILIDE FUMARATE,0.1MG
ANDA214663,001,EPLERENONE,25MG
ANDA214663,002,EPLERENONE,50MG
ANDA214677,001,LACOSAMIDE,200MG
NDA020504,001,HYDROCHLOROTHIAZIDE,12.5MG
ANDA214695,004,LACOSAMIDE,200MG
ANDA214695,002,LACOSAMIDE,100MG
ANDA214695,003,LACOSAMIDE,150MG
ANDA214695,001,LACOSAMIDE,50MG
ANDA214721,001,DICYCLOMINE HYDROCHLORIDE,10MG
NDA020505,005,TOPIRAMATE,50MG
NDA020505,003,TOPIRAMATE,300MG
NDA020505,001,TOPIRAMATE,100MG
NDA020505,006,TOPIRAMATE,400MG
NDA020505,004,TOPIRAMATE,25MG
NDA020505,002,TOPIRAMATE,200MG
ANDA214731,004,MEMANTINE HYDROCHLORIDE,28MG
ANDA214731,002,MEMANTINE HYDROCHLORIDE,14MG
ANDA214731,003,MEMANTINE HYDROCHLORIDE,21MG
ANDA214731,001,MEMANTINE HYDROCHLORIDE,7MG
ANDA214751,001,TRIAMCINOLONE ACETONIDE,0.1%
ANDA214753,002,SIROLIMUS,1MG
ANDA214753,003,SIROLIMUS,2MG
ANDA214753,001,SIROLIMUS,0.5MG
NDA020507,001,ENALAPRIL MALEATE,5MG
ANDA214782,001,PIMAVANSERIN,34MG
NDA214787,002,REMDESIVIR,100MG
NDA214787,001,REMDESIVIR,100MG
ANDA214799,002,METOLAZONE,5MG
ANDA214799,003,METOLAZONE,10MG
ANDA214799,001,METOLAZONE,2.5MG
NDA214801,001,FUTIBATINIB,4MG
NDA020511,001,AMLEXANOX,5%
ANDA214815,002,LEVETIRACETAM,500MG
ANDA214815,003,LEVETIRACETAM,750MG
ANDA214815,001,LEVETIRACETAM,250MG
ANDA214815,004,LEVETIRACETAM,1GM
NDA214846,001,ESTRADIOL,1MG
NDA214846,001,NORETHINDRONE ACETATE,0.5MG
NDA214846,001,RELUGOLIX,40MG
NDA020519,001,CICLOPIROX,0.77%
ANDA214957,002,GABAPENTIN,800MG
ANDA214957,001,GABAPENTIN,600MG
ANDA214959,005,AMPHETAMINE ASPARTATE,6.25MG
ANDA214959,005,AMPHETAMINE SULFATE,6.25MG
ANDA214959,005,DEXTROAMPHETAMINE SACCHARATE,6.25MG
ANDA214959,005,DEXTROAMPHETAMINE SULFATE,6.25MG
ANDA214959,003,AMPHETAMINE ASPARTATE,3.75MG
ANDA214959,003,AMPHETAMINE SULFATE,3.75MG
ANDA214959,003,DEXTROAMPHETAMINE SACCHARATE,3.75MG
ANDA214959,003,DEXTROAMPHETAMINE SULFATE,3.75MG
ANDA214959,001,AMPHETAMINE ASPARTATE,1.25MG
ANDA214959,001,AMPHETAMINE SULFATE,1.25MG
ANDA214959,001,DEXTROAMPHETAMINE SACCHARATE,1.25MG
ANDA214959,001,DEXTROAMPHETAMINE SULFATE,1.25MG
ANDA214959,006,AMPHETAMINE ASPARTATE,7.5MG
ANDA214959,006,AMPHETAMINE SULFATE,7.5MG
ANDA214959,006,DEXTROAMPHETAMINE SACCHARATE,7.5MG
ANDA214959,006,DEXTROAMPHETAMINE SULFATE,7.5MG
ANDA214959,004,AMPHETAMINE ASPARTATE,5MG
ANDA214959,004,AMPHETAMINE SULFATE,5MG
ANDA214959,004,DEXTROAMPHETAMINE SACCHARATE,5MG
ANDA214959,004,DEXTROAMPHETAMINE SULFATE,5MG
ANDA214959,002,AMPHETAMINE ASPARTATE,2.5MG
ANDA214959,002,AMPHETAMINE SULFATE,2.5MG
ANDA214959,002,DEXTROAMPHETAMINE SACCHARATE,2.5MG
ANDA214959,002,DEXTROAMPHETAMINE SULFATE,2.5MG
ANDA214966,001,PHYTONADIONE,1MG
ANDA215017,002,OBETICHOLIC ACID,10MG
ANDA215017,001,OBETICHOLIC ACID,5MG
NDA215025,001,SODIUM BENZOATE,10%
NDA215025,001,SODIUM PHENYLACETATE,10%
NDA020529,001,PODOFILOX,0.5%
ANDA215106,002,DEXAMETHASONE,6MG
ANDA215106,001,DEXAMETHASONE,4MG
ANDA215107,001,CYANOCOBALAMIN,1MG
ANDA215127,001,LORATADINE,10MG
ANDA215138,001,ACETAMINOPHEN,325MG
ANDA215138,001,BUTALBITAL,50MG
ANDA215138,001,CAFFEINE,40MG
ANDA215138,001,CODEINE PHOSPHATE,30MG
ANDA215138,002,ACETAMINOPHEN,300MG
ANDA215138,002,BUTALBITAL,50MG
ANDA215138,002,CAFFEINE,40MG
ANDA215138,002,CODEINE PHOSPHATE,30MG
ANDA215141,003,FLUPHENAZINE HYDROCHLORIDE,5MG
ANDA215141,001,FLUPHENAZINE HYDROCHLORIDE,1MG
ANDA215141,004,FLUPHENAZINE HYDROCHLORIDE,10MG
ANDA215141,002,FLUPHENAZINE HYDROCHLORIDE,2.5MG
NDA215152,001,AMOXICILLIN,500MG
NDA215152,001,CLARITHROMYCIN,500MG
NDA215153,001,AMOXICILLIN,500MG
ANDA215194,001,MORPHINE SULFATE,15MG
ANDA215194,002,MORPHINE SULFATE,30MG
ANDA215215,001,DAPTOMYCIN,500MG
ANDA215364,001,BUMETANIDE,0.25MG
ANDA215368,001,CARMUSTINE,100MG
ANDA215420,001,SAPROPTERIN DIHYDROCHLORIDE,100MG
ANDA215420,002,SAPROPTERIN DIHYDROCHLORIDE,500MG
NDA215446,001,EDARAVONE,105MG
NDA020554,001,CALCIPOTRIENE,0.005%
ANDA215541,001,METYROSINE,250MG
NDA215559,005,PALOVAROTENE,10MG
NDA215559,003,PALOVAROTENE,2.5MG
NDA215559,001,PALOVAROTENE,1MG
NDA215559,004,PALOVAROTENE,5MG
NDA215559,002,PALOVAROTENE,1.5MG
ANDA215598,001,BRIMONIDINE TARTRATE,0.2%
ANDA215599,003,FLECAINIDE ACETATE,150MG
ANDA215599,001,FLECAINIDE ACETATE,50MG
ANDA215599,002,FLECAINIDE ACETATE,100MG
ANDA215630,001,FAMOTIDINE,20MG
ANDA215630,002,FAMOTIDINE,40MG
ANDA215658,001,GANIRELIX ACETATE,250MCG
NDA215668,001,BENDAMUSTINE HYDROCHLORIDE,100MG
ANDA215673,001,PREDNISOLONE,5MG
ANDA215687,001,MITOMYCIN,5MG
ANDA215687,002,MITOMYCIN,20MG
ANDA215698,001,PLERIXAFOR,24MG
NDA215712,001,MOMETASONE FUROATE,0.05MG
ANDA215719,001,LOTEPREDNOL ETABONATE,0.5%
NDA020577,001,CALCIUM CHLORIDE,0.2MG
NDA020577,001,DEXTROSE,0.8MG
NDA020577,001,MAGNESIUM SULFATE,0.3MG
NDA020577,001,POTASSIUM CHLORIDE,0.3MG
NDA020577,001,SODIUM BICARBONATE,1.9MG
NDA020577,001,SODIUM CHLORIDE,7.3MG
NDA020577,001,HEPTAHYDRATE,0.2MG
ANDA215742,001,ZILEUTON,600MG
ANDA215832,001,BETAMETHASONE VALERATE,0.12%
ANDA215834,001,MIDOSTAURIN,25MG
ANDA215909,002,SEVELAMER CARBONATE,2.4GM
ANDA215909,001,SEVELAMER CARBONATE,800MG
ANDA215984,002,VALBENAZINE TOSYLATE,80MG
ANDA215984,001,VALBENAZINE TOSYLATE,40MG
ANDA215999,002,CARBIDOPA,25MG
ANDA215999,002,LEVODOPA,100MG
ANDA215999,003,CARBIDOPA,25MG
ANDA215999,003,LEVODOPA,250MG
ANDA215999,001,CARBIDOPA,10MG
ANDA215999,001,LEVODOPA,100MG
ANDA216007,003,NALMEFENE HYDROCHLORIDE,2MG
NDA020597,001,LATANOPROST,0.005%
ANDA216037,001,THIOTEPA,15MG
ANDA216037,002,THIOTEPA,100MG
ANDA216040,003,BUPIVACAINE HYDROCHLORIDE,0.75%
ANDA216040,001,BUPIVACAINE HYDROCHLORIDE,0.25%
ANDA216040,002,BUPIVACAINE HYDROCHLORIDE,0.5%
ANDA216046,002,CYCLOSPORINE,50MG
ANDA216046,003,CYCLOSPORINE,100MG
ANDA216046,001,CYCLOSPORINE,25MG
ANDA216074,001,IVACAFTOR,150MG
NDA216078,001,BENDAMUSTINE HYDROCHLORIDE,100MG
ANDA216081,005,GADOBUTROL,6.0472GM
ANDA216081,003,GADOBUTROL,1.20944GM
ANDA216081,001,GADOBUTROL,18.1416GM
ANDA216081,006,GADOBUTROL,9.0708GM
ANDA216081,004,GADOBUTROL,4.5354GM
ANDA216081,002,GADOBUTROL,39.3068GM
ANDA216082,002,GUAIFENESIN,1.2GM
ANDA216082,002,PSEUDOEPHEDRINE HYDROCHLORIDE,120MG
ANDA216082,001,GUAIFENESIN,600MG
ANDA216082,001,PSEUDOEPHEDRINE HYDROCHLORIDE,60MG
ANDA216108,001,FENFLURAMINE,2.2MG
ANDA216114,001,BRIMONIDINE TARTRATE,0.2%
NDA216117,007,METHYLPHENIDATE HYDROCHLORIDE,72MG
NDA216117,005,METHYLPHENIDATE HYDROCHLORIDE,54MG
NDA216117,003,METHYLPHENIDATE HYDROCHLORIDE,36MG
NDA216117,001,METHYLPHENIDATE HYDROCHLORIDE,18MG
NDA216117,006,METHYLPHENIDATE HYDROCHLORIDE,63MG
NDA216117,004,METHYLPHENIDATE HYDROCHLORIDE,45MG
NDA216117,002,METHYLPHENIDATE HYDROCHLORIDE,27MG
NDA216165,001,ENMETAZOBACTAM,0.5GM
ANDA216198,001,TIOPRONIN,100MG
ANDA216206,001,NEOSTIGMINE METHYLSULFATE,3MG
ANDA216216,003,METOLAZONE,10MG
ANDA216216,001,METOLAZONE,2.5MG
ANDA216216,002,METOLAZONE,5MG
ANDA216234,001,ROCURONIUM BROMIDE,50MG
ANDA216234,002,ROCURONIUM BROMIDE,100MG
NDA216318,001,TESTOSTERONE CYPIONATE,200MG
ANDA216321,002,POTASSIUM CHLORIDE,15MEQ
ANDA216321,003,POTASSIUM CHLORIDE,20MEQ
ANDA216321,001,POTASSIUM CHLORIDE,10MEQ
ANDA216323,001,METRONIDAZOLE,0.75%
ANDA216332,001,LAMIVUDINE,300MG
NDA216338,001,PACLITAXEL,100MG
ANDA216346,001,NELARABINE,250MG
ANDA216348,001,FLUOROMETHOLONE,0.1%
NDA020616,009,MORPHINE SULFATE,40MG
NDA020616,007,MORPHINE SULFATE,200MG
NDA020616,005,MORPHINE SULFATE,60MG
NDA020616,011,MORPHINE SULFATE,130MG
NDA020616,003,MORPHINE SULFATE,100MG
NDA020616,001,MORPHINE SULFATE,20MG
NDA020616,008,MORPHINE SULFATE,10MG
NDA020616,006,MORPHINE SULFATE,80MG
NDA020616,012,MORPHINE SULFATE,150MG
NDA020616,004,MORPHINE SULFATE,30MG
NDA020616,010,MORPHINE SULFATE,70MG
NDA020616,002,MORPHINE SULFATE,50MG
NDA020617,002,C-14,1uCi
NDA020617,001,C-14,1uCi
ANDA216418,001,MERCAPTOPURINE,20MG
NDA020622,002,GLATIRAMER ACETATE,20MG
NDA020622,003,GLATIRAMER ACETATE,40MG
NDA020622,001,GLATIRAMER ACETATE,20MG
ANDA216426,001,FORMOTEROL FUMARATE,0.02MG
NDA216457,001,APREPITANT,32MG
NDA020624,003,DOLASETRON MESYLATE,500MG
NDA020624,001,DOLASETRON MESYLATE,100MG
NDA020624,002,DOLASETRON MESYLATE,12.5MG
ANDA216462,001,SODIUM PHENYLBUTYRATE,500MG
ANDA216463,003,MEXILETINE HYDROCHLORIDE,250MG
ANDA216463,001,MEXILETINE HYDROCHLORIDE,150MG
ANDA216463,002,MEXILETINE HYDROCHLORIDE,200MG
NDA216472,001,LATANOPROST,0.005%
ANDA216481,001,ESLICARBAZEPINE ACETATE,200MG
ANDA216481,002,ESLICARBAZEPINE ACETATE,400MG
ANDA216481,003,ESLICARBAZEPINE ACETATE,600MG
NDA216482,001,MYCOPHENOLATE MOFETIL,200MG
NDA020627,001,LEVONORGESTREL,75MG
NDA216513,001,SODIUM PHENYLBUTYRATE,84GM
ANDA216552,001,DILTIAZEM HYDROCHLORIDE,5MG
ANDA216594,002,CARBAMAZEPINE,200MG
ANDA216594,003,CARBAMAZEPINE,400MG
ANDA216594,001,CARBAMAZEPINE,100MG
ANDA216606,001,NISOLDIPINE,8.5MG
ANDA216624,002,NALOXONE HYDROCHLORIDE,1MG
ANDA216624,001,NALOXONE HYDROCHLORIDE,0.4MG
ANDA216656,003,ESTRADIOL VALERATE,40MG
ANDA216656,001,ESTRADIOL VALERATE,10MG
ANDA216656,002,ESTRADIOL VALERATE,20MG
NDA216660,001,SODIUM PHENYLBUTYRATE,3GM
NDA216660,001,TAURURSODIOL,1GM
ANDA216692,001,METRONIDAZOLE,1%
NDA020637,001,CARMUSTINE,7.7MG
ANDA216728,001,SIROLIMUS,1MG
ANDA216736,001,DICYCLOMINE HYDROCHLORIDE,20MG
ANDA216760,001,DICYCLOMINE HYDROCHLORIDE,20MG
ANDA216857,001,ENTECAVIR,0.5MG
ANDA216857,002,ENTECAVIR,1MG
ANDA216876,001,LOPERAMIDE HYDROCHLORIDE,2MG
ANDA216906,001,BRIMONIDINE TARTRATE,0.1%
ANDA216911,001,CHLORPROMAZINE HYDROCHLORIDE,25MG
ANDA216922,001,DESMOPRESSIN ACETATE,0.004MG
ANDA216955,001,METHYLENE BLUE,50MG
ANDA217001,001,DEXAMETHASONE,4MG
ANDA217001,002,DEXAMETHASONE,6MG
ANDA217027,005,AMPHETAMINE ASPARTATE,6.25MG
ANDA217027,005,AMPHETAMINE SULFATE,6.25MG
ANDA217027,005,DEXTROAMPHETAMINE SACCHARATE,6.25MG
ANDA217027,005,DEXTROAMPHETAMINE SULFATE,6.25MG
ANDA217027,003,AMPHETAMINE ASPARTATE,3.75MG
ANDA217027,003,AMPHETAMINE SULFATE,3.75MG
ANDA217027,003,DEXTROAMPHETAMINE SACCHARATE,3.75MG
ANDA217027,003,DEXTROAMPHETAMINE SULFATE,3.75MG
ANDA217027,001,AMPHETAMINE ASPARTATE,1.25MG
ANDA217027,001,AMPHETAMINE SULFATE,1.25MG
ANDA217027,001,DEXTROAMPHETAMINE SACCHARATE,1.25MG
ANDA217027,001,DEXTROAMPHETAMINE SULFATE,1.25MG
ANDA217027,006,AMPHETAMINE ASPARTATE,7.5MG
ANDA217027,006,AMPHETAMINE SULFATE,7.5MG
ANDA217027,006,DEXTROAMPHETAMINE SACCHARATE,7.5MG
ANDA217027,006,DEXTROAMPHETAMINE SULFATE,7.5MG
ANDA217027,004,AMPHETAMINE ASPARTATE,5MG
ANDA217027,004,AMPHETAMINE SULFATE,5MG
ANDA217027,004,DEXTROAMPHETAMINE SACCHARATE,5MG
ANDA217027,004,DEXTROAMPHETAMINE SULFATE,5MG
ANDA217027,002,AMPHETAMINE ASPARTATE,2.5MG
ANDA217027,002,AMPHETAMINE SULFATE,2.5MG
ANDA217027,002,DEXTROAMPHETAMINE SACCHARATE,2.5MG
ANDA217027,002,DEXTROAMPHETAMINE SULFATE,2.5MG
ANDA217034,001,ROCURONIUM BROMIDE,50MG
ANDA217059,002,LEVETIRACETAM,1GM
ANDA217059,003,LEVETIRACETAM,1.5GM
ANDA217059,001,LEVETIRACETAM,500MG
NDA217070,001,ABACAVIR,60MG
NDA217070,001,DOLUTEGRAVIR,5MG
NDA217070,001,LAMIVUDINE,30MG
ANDA217087,001,ETHINYL ESTRADIOL,0.02MG
ANDA217087,001,LEVONORGESTREL,0.1MG
ANDA217098,001,DOXYCYCLINE,40MG
ANDA217166,001,KETOROLAC TROMETHAMINE,15MG
ANDA217166,002,KETOROLAC TROMETHAMINE,30MG
NDA217171,001,PEGCETACOPLAN,15MG
ANDA217275,001,CHLORPROMAZINE HYDROCHLORIDE,25MG
NDA020682,003,MIGLITOL,100MG
NDA020682,001,MIGLITOL,25MG
NDA020682,002,MIGLITOL,50MG
ANDA217357,001,NITROFURANTOIN,75MG
ANDA217357,001,MACROCRYSTALLINE,25MG
ANDA217386,001,PHYTONADIONE,10MG
NDA009489,005,TRIDIHEXETHYL CHLORIDE,25MG
ANDA217438,001,MOMETASONE FUROATE,0.05MG
ANDA217498,001,MOMETASONE FUROATE,0.05MG
ANDA217515,001,POTASSIUM ACETATE,2MEQ
ANDA217533,001,MESALAMINE,375MG
ANDA217548,001,NICARDIPINE HYDROCHLORIDE,25MG
ANDA217561,001,METHYLENE BLUE,50MG
ANDA217563,002,METOLAZONE,5MG
ANDA217563,003,METOLAZONE,10MG
ANDA217563,001,METOLAZONE,2.5MG
ANDA217566,001,DICYCLOMINE HYDROCHLORIDE,20MG
NDA217569,001,VASOPRESSIN,20UNITS
NDA217569,002,VASOPRESSIN,40UNITS
ANDA217605,001,FAMOTIDINE,40MG
NDA217651,002,CYCLOPHOSPHAMIDE,1GM
NDA217651,001,CYCLOPHOSPHAMIDE,500MG
ANDA217694,001,TOPIRAMATE,15MG
ANDA217694,002,TOPIRAMATE,25MG
ANDA217696,001,DEXAMETHASONE,2MG
ANDA217813,001,DEFLAZACORT,22.75MG
ANDA217821,001,BUPIVACAINE HYDROCHLORIDE,0.25%
ANDA217821,002,BUPIVACAINE HYDROCHLORIDE,0.5%
ANDA217821,003,BUPIVACAINE HYDROCHLORIDE,0.75%
ANDA217846,001,BRIMONIDINE TARTRATE,0.2%
ANDA217857,001,PREGABALIN,330MG
ANDA218830,001,METHIMAZOLE,5MG
NDA020711,003,BUPROPION HYDROCHLORIDE,150MG
NDA020711,002,BUPROPION HYDROCHLORIDE,100MG
ANDA217869,002,TOPIRAMATE,25MG
ANDA217869,001,TOPIRAMATE,15MG
ANDA217873,001,SUCCINYLCHOLINE CHLORIDE,100MG
ANDA217883,001,INDOMETHACIN,25MG
ANDA217884,001,SUCCINYLCHOLINE CHLORIDE,100MG
ANDA217904,001,OFLOXACIN,0.3%
ANDA217916,001,DICYCLOMINE HYDROCHLORIDE,20MG
ANDA217987,001,VASOPRESSIN,20UNITS
ANDA218023,002,ACETAZOLAMIDE,250MG
ANDA218023,001,ACETAZOLAMIDE,125MG
ANDA218109,001,CABERGOLINE,0.5MG
ANDA218129,002,PHENYLEPHRINE HYDROCHLORIDE,10%
ANDA218129,001,PHENYLEPHRINE HYDROCHLORIDE,2.5%
NDA009519,008,GLUTETHIMIDE,500MG
NDA009519,002,GLUTETHIMIDE,250MG
NDA009519,005,GLUTETHIMIDE,500MG
ANDA218211,001,EPHEDRINE SULFATE,50MG
ANDA218232,001,FINASTERIDE,5MG
ANDA218232,001,TADALAFIL,5MG
ANDA218253,001,AMIODARONE HYDROCHLORIDE,50MG
ANDA218282,001,CYCLOPHOSPHAMIDE,25MG
ANDA218282,002,CYCLOPHOSPHAMIDE,50MG
NDA020734,019,AMINO ACIDS,8%
NDA020734,019,DEXTROSE,14GM
NDA020734,017,AMINO ACIDS,5%
NDA020734,017,DEXTROSE,25GM
NDA020734,015,AMINO ACIDS,5%
NDA020734,015,DEXTROSE,15GM
NDA020734,007,AMINO ACIDS,4.25%
NDA020734,007,DEXTROSE,5GM
NDA020734,005,AMINO ACIDS,2.75%
NDA020734,005,DEXTROSE,25GM
NDA020734,011,AMINO ACIDS,4.25%
NDA020734,011,DEXTROSE,25GM
NDA020734,001,AMINO ACIDS,2.75%
NDA020734,001,DEXTROSE,5GM
NDA020734,018,AMINO ACIDS,5%
NDA020734,018,DEXTROSE,35GM
NDA020734,016,AMINO ACIDS,5%
NDA020734,016,DEXTROSE,20GM
NDA020734,008,AMINO ACIDS,4.25%
NDA020734,008,DEXTROSE,10GM
NDA020734,014,AMINO ACIDS,5%
NDA020734,014,DEXTROSE,10GM
NDA020734,010,AMINO ACIDS,4.25%
NDA020734,010,DEXTROSE,20GM
NDA020734,002,AMINO ACIDS,2.75%
NDA020734,002,DEXTROSE,10GM
ANDA218324,001,IVERMECTIN,3MG
ANDA218346,001,NITROFURANTOIN,25MG
ANDA218411,001,LIDOCAINE HYDROCHLORIDE,4%
ANDA218434,001,POSACONAZOLE,100MG
NDA218490,002,MACITENTAN,10MG
NDA218490,002,TADALAFIL,40MG
NDA218490,001,MACITENTAN,10MG
NDA218490,001,TADALAFIL,20MG
ANDA218551,003,LOSARTAN POTASSIUM,100MG
ANDA218551,001,LOSARTAN POTASSIUM,25MG
ANDA218551,002,LOSARTAN POTASSIUM,50MG
NDA218591,001,SACUBITRIL,6MG
NDA218591,001,VALSARTAN,6MG
NDA218591,002,SACUBITRIL,15MG
NDA218591,002,VALSARTAN,16MG
ANDA218673,001,METFORMIN HYDROCHLORIDE,500MG
ANDA218673,002,METFORMIN HYDROCHLORIDE,750MG
NDA218709,001,MAVORIXAFOR,100MG
NDA218718,001,ETHINYL ESTRADIOL,0.02MG
NDA218718,001,NORETHINDRONE ACETATE,1MG
NDA218808,002,CRINECERFONT,50MG
NDA218808,003,CRINECERFONT,100MG
NDA218808,001,CRINECERFONT,25MG
ANDA218830,002,METHIMAZOLE,10MG
ANDA218863,002,EVEROLIMUS,3MG
ANDA218863,003,EVEROLIMUS,5MG
ANDA218863,001,EVEROLIMUS,2MG
ANDA219111,001,MIGLUSTAT,100MG
NDA020764,003,LAMOTRIGINE,100MG
NDA020764,001,LAMOTRIGINE,5MG
NDA020764,004,LAMOTRIGINE,2MG
NDA020764,002,LAMOTRIGINE,25MG
BLA761043,001,BELIMUMAB,200MG
BLA761075,001,PEGFILGRASTIM-JMDB,6MG
BLA761091,001,TRASTUZUMAB-PKRB,420MG
BLA761099,002,BEVACIZUMAB-BVZR,400MG
BLA761099,001,BEVACIZUMAB-BVZR,100MG
BLA761102,001,CALASPARGASE PEGOL-MKNL,3750UNITS
BLA761109,002,INSULIN LISPRO-AABC,200UNITS
BLA761109,001,INSULIN LISPRO-AABC,100UNITS
BLA761161,001,PEGUNIGALSIDASE ALFA-IWXJ,20MG
BLA761173,001,PEGFILGRASTIM-FPGK,6MG
BLA761201,002,INSULIN GLARGINE-YFGN,3ML
BLA761201,001,INSULIN GLARGINE-YFGN,10ML
BLA761269,002,LECANEMAB-IRMB,200MG
BLA761269,001,LECANEMAB-IRMB,500MG
BLA761297,001,COSIBELIMAB-IPDL,300MG
BLA761309,002,GLOFITAMAB-GXBM,10MG
BLA761309,001,GLOFITAMAB-GXBM,2.5MG
BLA761347,001,ATEZOLIZUMAB AND HYALURONIDASE-TQJS,125MG
BLA761364,002,USTEKINUMAB-SRLF,90MG
BLA761364,003,USTEKINUMAB-SRLF,130MG
BLA761364,001,USTEKINUMAB-SRLF,45MG
NDA020796,001,ENTACAPONE,200MG
NDA020799,001,OFLOXACIN,0.3%
NDA020812,002,IBUPROFEN,50MG
NDA020812,001,IBUPROFEN,100MG
NDA020828,001,SAQUINAVIR,200MG
NDA009663,003,RESERPINE,0.25MG
NDA009663,001,RESERPINE,0.1MG
NDA020870,001,ESTRADIOL,0.05MG
NDA020870,001,NORETHINDRONE ACETATE,0.14MG
NDA020870,002,ESTRADIOL,0.05MG
NDA020870,002,NORETHINDRONE ACETATE,0.25MG
NDA020922,001,MEQUINOL,2%
NDA020922,001,TRETINOIN,0.01%
NDA020941,001,DOCOSANOL,10%
NDA020945,001,RITONAVIR,100MG
NDA009768,001,HYDROXYCHLOROQUINE SULFATE,200MG
NDA020958,001,CALCIUM CARBONATE,800MG
NDA020958,001,FAMOTIDINE,10MG
NDA020958,001,MAGNESIUM HYDROXIDE,165MG
NDA020989,002,CEVIMELINE HYDROCHLORIDE,30MG
NDA021055,001,BEXAROTENE,75MG
NDA021056,001,BEXAROTENE,1%
NDA021064,001,PERFLUTREN,13.04MG
NDA021064,002,PERFLUTREN,13.04MG
NDA021067,002,MOMETASONE FUROATE,0.11MG
NDA021067,001,MOMETASONE FUROATE,0.22MG
NDA021079,001,PEMIROLAST POTASSIUM,0.1%
NDA021084,001,PERFLUOROPOLYMETHYLISOPROPYL ETHER,50%
NDA021084,001,POLYTETRAFLUOROETHYLENE,50%
NDA021086,004,OLANZAPINE,20MG
NDA021086,002,OLANZAPINE,10MG
NDA021086,003,OLANZAPINE,15MG
NDA021086,001,OLANZAPINE,5MG
NDA021119,001,VERTEPORFIN,15MG
NDA009986,008,PREDNISONE,50MG
NDA009986,006,PREDNISONE,10MG
NDA009986,002,PREDNISONE,5MG
NDA009986,007,PREDNISONE,20MG
ANDA064187,001,ERYTHROMYCIN,2%
NDA009986,005,PREDNISONE,2.5MG
NDA021180,001,ETHINYL ESTRADIOL,0.035MG
NDA021180,001,NORELGESTROMIN,0.15MG
NDA009987,004,PREDNISOLONE,5MG
NDA021187,001,ETHINYL ESTRADIOL,0.015MG
NDA021187,001,ETONOGESTREL,0.12MG
NDA021199,001,LEVOFLOXACIN,0.5%
NDA009996,001,PREDNISOLONE,5MG
NDA010010,002,DIETHYLSTILBESTROL DIPHOSPHATE,50MG
NDA010010,001,DIETHYLSTILBESTROL DIPHOSPHATE,250MG
NDA021225,001,LEVONORGESTREL,52MG
NDA021232,004,NITISINONE,20MG
NDA021232,002,NITISINONE,5MG
NDA021232,003,NITISINONE,10MG
NDA021232,001,NITISINONE,2MG
NDA021247,001,FLUNISOLIDE,0.078MG
NDA010021,004,ETHCHLORVYNOL,100MG
NDA010021,010,ETHCHLORVYNOL,750MG
NDA010021,002,ETHCHLORVYNOL,500MG
NDA010021,007,ETHCHLORVYNOL,200MG
NDA021268,001,EPROSARTAN MESYLATE,600MG
NDA021268,001,HYDROCHLOROTHIAZIDE,12.5MG
NDA021268,002,EPROSARTAN MESYLATE,600MG
NDA021268,002,HYDROCHLOROTHIAZIDE,25MG
BLA021271,001,DESIRUDIN RECOMBINANT,15MG
NDA021282,001,GUAIFENESIN,600MG
